N;CANTON:;A.1.1;A.1.2;A.1.3;A.1.4;A.1.5;A.1.6;A.1.7;A.1.8;A.1.9;A.1.10;A.1.11;A.2.1;A.2.2;A.2.3;A.2.4;A.2.5;B.3.1;B.3.2;B.3.3;B.3.4;B.3.5;B.4.1;B.4.2;B.4.3;B.4.4;B.4.5;C.5.2.;C.5a.1;C.5a.2;C.5a.3;C.5a.4;C.5a.5;C.5a.6;C.5a.7;C.5a.8;C.5a.9;C.5a.10;C.6.1.;C.6a.1;C.6a.2;C.6a.3;C.6a.4;C.6a.5;C.6a.6;C.7.1;C.7.2;C.7.3;C.7.4;C.7.5;C.7.6;C.7.7;C.8.1;C.8.2;C.8.3;C.8.4;C.8.5;C.8.6;C.9.1;C.9.2;C.9.3;D.10.1;D.10.2;D.10.3;D.10.4;D.10.5;D.10.6;D.10.7;D.10.8;D.10.9;D.11.1;D.11.2;D.11.3;D.11.4;D.11.5;D.11.6;D.11.7;E.12.1;E.12.2;E.12.3;E.12.4;E.12.5;E.12.6;E.12.7;E.12.8;E.13.1;E.13.2;E.13.3;E.13.4;E.13.5;E.13.6;E.13.7;E.14.1;E.14.2;E.14.3;E.14.4;E.14.5;E.14.6;E.15.1;E.15.2;E.15.3;E.15.4;E.15.5;E.15.6;E.15.7;E.15.8;F.16.1;F.17.1;F.17.2;F.17.3;F.17.4;F.17.5;F.17.6;F.17.7;F.18.1;F.18.2;F.18.3;F.18.4;F.18.5;G.19.1;G.19.2;G.19.3;G.19.4;G.19.5;G.19.6;G.20.1;G.20.2;G.20.3;G.20.4;G.20.5;G.20.6;G.20.7;G.20.8;G.20.9;G.20.10;G.20.11;G.21.1;G.21.2;G.21.3;G.21.4;G.21.5;G.21.6;H.22.1;H.22.2;H.22.3;H.22.4;H.22.5;H.22.6;H.23.1;H.23.2;H.23.3;H.24.1;H.24.2;H.24.3;I.25.1;I.25.2;I.25.3;I.25.4;I.25.5;I.25.6;I.26.1;I.26.2;I.26.3;I.26.4;I.26.5;I.27.1;I.27.2;I.27.3;I.27.4;I.27.5;I.27.6;I.28.1;J.29.1;J.30.1;J.30.2;J.30.3;J.30.4;J.30.5;J.30.6;J.30.7;J.30.8;J.30.9;J.30.10;J.30.11;J.30.12;K.31.1;K.31.2;K.31.3;K.31.4;K.31.5;K.31.6;K.31.7;K.31.8;K.31.9;K.31.10;K.31.11;K.31.12;K.31.13;K.31.14;K.31.15;K.31.16;K.31.17;K.31.18;L.34.1;L.35.1;L.36.1;L.37.1;L.38.3;L.39.6;L.40.3;L.41.1;L.41.2;L.43.1;L.44.1
11;ROCAFUERTE;1;1;1;4;2;2;1;1;1;2;5;2;2;2;2;2;2;2;4;4;2;2;1;1;1;2;2;1;2;1;1;1;1;1;1;1;2;2;2;1;4;1;1;1;2;2;2;5;5;2;5;5;5;5;2;2;5;2;2;2;1;5;5;5;5;5;1;5;5;5;1;1;1;5;5;5;2;2;5;5;5;5;5;5;2;1;2;2;1;4;4;3;3;1;1;1;1;1;4;1;1;1;2;3;3;48 ;1;2;2;1;3;1;3;3;2;3;4;4;2;1;2;1;2;2;1;2;2;1;2;2;4;4;4;1;1;5;5;5;5;5;5;1;1;1;1;3;3;5;5;1;2;2;2;2;1;1;2;1;1;2;2;2;2;3;1;1;3;3;1;3;2;2.600,00 ;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5;1;5;5;5;5;5;1;5;5;5;5;5;1;1;2;0;3;6;3;2;0;1;2
12;ROCAFUERTE;1;1;1;3;2;1;1;1;1;1;5;1;1;1;1;1;3;3;2;3;2;2;2;2;2;2;2;1;4;1;1;1;4;1;1;1;2;2;1;2;3;2;2;1;5;1;5;5;5;1;5;5;5;5;1;5;5;1;1;2;1;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;2;2;5;5;5;5;5;5;2;1;2;2;1;4;3;4;3;1;1;3;2;1;3;1;1;1;1;2;3;46 ;1;2;2;1;3;1;3;2;1;3;3;3;1;1;1;1;1;1;1;2;2;1;1;1;4;5;5;1;1;5;5;5;5;5;5;1;1;1;1;4;4;5;5;5;1;1;1;2;1;1;2;2;1;2;2;2;3;3;1;1;1;4;1;5;2;1.800,00 ;1;1;1;1;2;2;2;2;1;2;1;2;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;1;1;2;0;3;6;3;0;1;1;1
13;ROCAFUERTE;1;1;1;3;2;1;1;1;1;2;5;1;1;1;1;1;2;2;3;3;2;1;1;1;1;1;2;1;4;1;1;4;1;3;1;1;2;2;4;1;3;1;1;1;2;2;5;5;5;2;5;5;5;5;5;1;5;2;2;2;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;2;2;5;5;5;5;5;5;2;2;3;3;1;3;1;4;4;1;1;5;1;1;4;1;1;1;1;3;4;48 ;1;2;2;2;1;1;1;3;2;3;3;3;1;1;1;1;1;1;1;3;2;1;1;1;5;2;2;1;1;5;5;5;5;5;5;1;1;1;1;2;3;5;5;1;1;1;1;1;1;1;2;1;1;2;3;2;3;3;1;1;4;3;1;4;2;1.500,00 ;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5;5;5;4;5;5;5;2;5;5;5;5;5;1;1;2;0;3;6;3;2;0;1;1
14;ROCAFUERTE;2;1;1;5;2;1;1;1;1;2;4;1;3;1;1;1;2;2;4;4;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;2;3;2;3;2;1;2;5;2;5;5;5;5;5;5;5;5;1;5;5;2;2;2;1;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;3;1;1;3;2;5;5;1;1;5;5;1;3;1;1;1;2;3;3;50 ;1;2;2;1;3;1;3;3;2;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;5;4;4;2;2;5;5;5;5;5;5;1;1;1;1;4;4;5;5;1;1;1;1;2;2;2;2;2;3;2;2;2;2;3;2;1;4;4;1;4;2;1.100,00 ;2;2;2;2;2;2;2;2;1;2;1;2;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;1;1;2;0;3;6;3;0;1;1;1
15;SUCRE;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;1;1;5;1;1;1;1;1;5;5;5;5;5;1;1;1;1;1;1;1;1;1;4;4;4;4;4;5;5;5;5;1;4;1;4;4;4;1;1;5;5;5;5;1;1;1;1;1;1;4;4;50 ;1;1;1;1;1;1;1;5;4;4;5;5;1;1;1;1;1;1;1;1;1;1;1;1;5;1;4;1;1;5;5;5;5;4;5;4;4;1;1;1;1;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;5;2;1.200,00 ;2;2;1;1;2;2;1;1;1;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;1;2;0;3;6;1;0;0;1;1
16;SUCRE;1;1;1;4;1;1;1;1;1;1;4;1;1;1;1;1;2;3;1;4;1;1;1;1;1;2;2;1;1;1;2;4;4;1;1;2;2;2;2;2;2;1;1;1;1;1;4;4;4;4;4;2;4;2;5;5;5;5;5;5;1;4;4;4;1;1;4;4;4;5;5;5;5;5;5;5;2;2;5;5;5;5;5;5;1;1;1;1;1;2;4;1;4;4;1;1;1;1;2;1;1;1;1;1;2;44 ;1;1;1;1;3;2;4;2;1;3;3;4;1;1;1;1;1;1;2;1;1;2;1;1;5;2;4;1;1;5;5;5;5;5;5;1;1;1;1;1;1;5;5;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;3;5;1;4;2;1.200,00 ;1;1;2;2;2;2;3;2;1;2;2;2;5;5;5;5;5;2;5;5;2;5;5;5;2;2;5;5;5;5;1;1;2;0;3;6;3;0;0;1;2
17;PORTOVIEJO;1;1;1;5;2;1;1;1;1;5;1;1;1;1;1;1;1;3;1;4;1;1;1;1;1;1;2;1;1;1;1;4;4;1;1;1;2;2;1;1;1;1;1;1;1;1;4;4;4;1;4;5;5;5;5;5;5;5;5;5;1;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;2;2;1;2;1;1;4;4;1;4;1;1;4;1;1;1;1;3;3;45 ;1;1;1;1;1;1;4;3;2;3;4;4;1;1;1;1;1;1;1;1;1;1;1;1;5;2;2;1;1;5;5;5;5;5;5;1;1;1;1;3;2;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;5;1;4;1;1.200,00 ;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;5;1;1;2;0;4;3;7;0;0;1;4
18;PORTOVIEJO;1;1;1;1;1;1;1;1;1;1;1;2;4;1;1;1;2;4;4;4;2;1;1;1;3;1;2;1;1;1;1;1;4;1;3;1;1;2;1;1;1;2;1;1;1;1;4;4;4;4;4;5;5;5;5;5;5;5;5;5;1;4;4;4;4;1;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;2;4;1;2;4;5;5;1;1;4;5;1;3;1;1;1;2;1;1;48 ;1;1;1;1;2;2;3;2;2;2;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;2;3;1;1;5;5;5;5;5;5;1;1;2;1;4;4;5;5;2;1;1;1;1;1;1;2;2;1;1;2;1;1;1;1;1;2;4;2;4;2;900,00 ;1;1;2;2;1;1;3;2;1;2;1;1;5;5;5;5;5;5;2;5;5;5;5;5;2;5;5;5;5;5;2;1;2;0;3;6;3;1;0;1;1
19;PORTOVIEJO;1;1;1;4;1;1;1;1;1;1;4;1;1;1;1;1;2;4;1;4;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;1;5;2;5;5;5;1;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;2;1;2;2;1;3;1;2;4;1;1;4;2;1;3;1;1;1;1;3;4;48 ;1;1;1;1;4;2;2;3;2;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;5;4;4;1;1;5;5;5;5;5;5;1;1;2;1;4;3;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;5;3;2.100,00 ;1;1;2;2;1;1;3;2;3;2;1;1;5;5;5;5;5;5;2;5;5;5;2;5;2;5;5;5;5;5;2;1;2;0;3;6;3;15;0;1;4
20;PORTOVIEJO;1;1;1;4;1;1;1;1;1;1;1;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;2;2;2;2;4;4;2;2;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;1;1;4;1;1;1;1;1;1;4;4;4;4;1;4;1;1;1;1;1;1;1;4;4;4;4;4;4;2;4;4;4;4;4;1;4;1;2;4;4;2;2;2;1;1;2;1;1;1;4;4;48 ;2;2;2;2;2;1;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;1;4;1;1;4;4;4;4;4;4;2;2;2;2;2;2;4;4;4;1;1;1;1;1;5;1;1;1;2;1;1;2;1;1;1;2;1;2;2;2;800,00 ;2;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;1;2;0;4;5;9;1;0;1;1
21;PORTOVIEJO;1;1;1;1;1;1;1;1;1;1;2;2;4;1;1;1;1;4;5;5;1;1;1;1;2;2;2;1;1;1;1;5;5;5;5;1;1;1;0;0;0;0;0;0;1;1;5;2;5;5;5;5;5;5;5;5;5;5;5;5;1;1;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;3;5;1;3;1;5;5;1;1;5;5;1;1;1;1;1;2;3;3;48 ;1;1;1;1;1;2;3;3;2;3;4;4;1;1;1;1;1;1;1;1;1;1;2;1;4;2;4;1;1;5;5;5;5;5;5;1;2;2;1;4;3;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;4;2;5;1;1.200,00 ;1;1;2;2;1;1;3;2;3;2;2;2;5;5;5;5;5;5;5;5;5;5;5;2;2;5;5;5;5;5;2;1;2;0;4;5;9;0;1;1;3
22;PORTOVIEJO;1;1;1;4;1;1;1;1;1;1;1;1;2;1;1;1;4;4;1;4;1;1;1;1;2;1;2;1;1;1;1;2;2;2;1;1;1;2;1;2;1;2;2;2;1;1;5;5;5;1;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;2;3;1;3;3;2;5;2;1;4;4;1;1;1;1;1;1;3;3;48 ;1;1;1;1;1;2;3;2;1;2;3;3;1;1;2;2;1;1;2;2;2;2;2;2;4;2;4;1;1;5;5;5;5;5;5;1;1;1;1;1;1;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;5;1;1;2;600,00 ;1;1;2;2;1;2;3;3;1;3;2;2;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;2;1;2;0;5;6;6;2;0;1;2
23;PORTOVIEJO;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;2;1;1;1;2;4;1;4;1;1;1;2;1;1;1;1;1;1;1;2;4;4;4;2;4;1;4;4;1;1;4;1;1;1;1;1;1;1;4;1;4;1;4;1;1;1;1;1;1;1;5;5;5;5;5;5;5;5;5;5;2;4;5;5;5;3;1;5;4;1;3;1;1;1;1;1;1;4;5;56 ;1;1;1;3;1;1;1;3;5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;5;1;2;2;1;5;5;5;5;5;5;1;1;3;2;2;1;3;3;2;1;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;5;5;1;4;2;1.000,00 ;1;1;1;1;2;2;3;3;2;2;2;2;5;5;5;5;5;5;2;5;5;5;5;5;3;5;5;4;5;5;2;1;2;0;4;1;7;1;0;1;1
24;ROCAFUERTE;1;1;1;4;1;2;1;1;1;2;1;1;2;1;1;1;2;3;3;4;2;1;1;2;2;2;2;1;4;1;1;1;1;1;1;1;1;2;2;2;4;1;1;1;5;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;1;3;3;1;4;3;5;5;5;1;5;5;1;3;1;1;1;1;3;1;48 ;1;1;1;1;1;1;3;3;2;3;3;3;1;1;1;1;1;1;2;2;2;1;1;1;3;4;3;1;1;5;5;5;5;5;5;1;1;1;1;3;3;5;5;5;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;1;2;4;1;4;2;1.500,00 ;2;2;2;2;3;2;3;3;1;2;2;2;5;5;5;5;5;5;3;5;5;5;5;5;2;5;5;5;5;5;1;1;2;0;3;6;1;0;0;1;1
25;ROCAFUERTE;1;1;2;5;1;4;1;1;1;1;4;2;4;2;2;1;4;4;1;4;1;1;1;1;1;1;2;1;4;1;1;4;4;4;1;1;2;1;0;0;0;0;0;0;2;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;4;4;4;4;4;4;4;4;4;1;3;1;2;1;1;5;5;5;5;5;5;5;5;3;1;3;3;1;5;1;5;5;5;1;5;2;1;4;1;1;1;1;4;5;56 ;2;2;2;2;3;2;3;3;2;3;4;3;1;1;1;1;1;1;1;2;2;1;1;1;4;3;3;3;1;5;5;5;5;5;5;1;1;1;1;4;4;5;5;5;1;1;1;2;2;5;2;1;1;2;2;2;2;1;2;1;3;4;1;4;1;1.600,00 ;2;2;2;2;2;2;3;3;3;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;1;3;5;5;5;5;1;1;2;0;2;6;1;0;0;1;1
